Date,BTC-USD,NVDA,SPY,UUUU
2021-08-20,49339.17578125,20.770708084106445,417.81097412109375,4.53000020980835
2021-08-21,48905.4921875,,,
2021-08-22,49321.65234375,,,
2021-08-23,49546.1484375,21.91022300720215,421.4862060546875,4.829999923706055
2021-08-24,47706.1171875,21.745580673217773,422.1553039550781,4.889999866485596
2021-08-25,48960.7890625,22.164661407470703,423.0411682128906,4.940000057220459
2021-08-26,46942.21875,22.019987106323242,420.5439147949219,4.860000133514404
2021-08-27,49058.66796875,22.58674430847168,424.3039245605469,5.139999866485596
2021-08-28,48902.40234375,,,
2021-08-29,48829.83203125,,,
2021-08-30,47054.984375,22.63863182067871,426.1697998046875,5.119999885559082
2021-08-31,47166.6875,22.340227127075195,425.5384521484375,5.409999847412109
2021-09-01,48847.02734375,22.396116256713867,425.76458740234375,5.550000190734863
2021-09-02,49327.72265625,22.351207733154297,427.0744323730469,6.059999942779541
2021-09-03,50025.375,22.79731559753418,426.9708557128906,6.150000095367432
2021-09-04,49944.625,,,
2021-09-05,51753.41015625,,,
2021-09-06,52633.53515625,,,
2021-09-07,46811.12890625,22.616674423217773,425.44415283203125,6.579999923706055
2021-09-08,46091.390625,22.294321060180664,424.92596435546875,6.349999904632568
2021-09-09,46391.421875,22.132646560668945,423.1070556640625,6.400000095367432
2021-09-10,44883.91015625,22.433046340942383,419.7710876464844,6.920000076293945
2021-09-11,45201.45703125,,,
2021-09-12,46063.26953125,,,
2021-09-13,44963.07421875,22.107694625854492,420.8453674316406,7.25
2021-09-14,47092.4921875,22.19751739501953,418.5743408203125,7.480000019073486
2021-09-15,48176.34765625,22.296314239501953,422.07049560546875,8.329999923706055
2021-09-16,47783.359375,22.19751739501953,421.40142822265625,8.15999984741211
2021-09-17,47267.51953125,21.856199264526367,417.2966003417969,7.309999942779541
2021-09-18,48278.36328125,,,
2021-09-19,47260.21875,,,
2021-09-20,42843.80078125,21.07077407836914,410.3384094238281,6.769999980926514
2021-09-21,40693.67578125,21.203508377075195,409.9508056640625,6.929999828338623
2021-09-22,43574.5078125,21.897119522094727,413.9498291015625,6.820000171661377
2021-09-23,44895.09765625,22.43703842163086,418.97930908203125,7.019999980926514
2021-09-24,42839.75,22.036836624145508,419.6694641113281,6.309999942779541
2021-09-25,42716.59375,,,
2021-09-26,43208.5390625,,,
2021-09-27,42235.73046875,21.616680145263672,418.46881103515625,6.769999980926514
2021-09-28,41034.54296875,20.65760040283203,410.035888671875,6.420000076293945
2021-09-29,41564.36328125,20.475963592529297,410.7260437011719,6.389999866485596
2021-09-30,43790.89453125,20.67456817626953,405.7059631347656,7.019999980926514
2021-10-01,48116.94140625,20.700515747070312,410.5275573730469,6.820000171661377
2021-10-02,47711.48828125,,,
2021-10-03,48199.953125,,,
2021-10-04,49112.90234375,19.692535400390625,405.2333068847656,6.800000190734863
2021-10-05,51514.8125,20.410093307495117,409.44970703125,7.03000020980835
2021-10-06,55361.44921875,20.658599853515625,411.1514587402344,6.260000228881836
2021-10-07,53805.984375,21.03285026550293,414.7061767578125,6.539999961853027
2021-10-08,53967.84765625,20.789337158203125,413.9498291015625,6.349999904632568
2021-10-09,54968.22265625,,,
2021-10-10,54771.578125,,,
2021-10-11,57484.7890625,20.653608322143555,410.952880859375,6.440000057220459
2021-10-12,56041.05859375,20.629657745361328,409.9413146972656,7.489999771118164
2021-10-13,57401.09765625,20.897123336791992,411.4161376953125,7.860000133514404
2021-10-14,57321.5234375,21.70250701904297,418.33642578125,7.860000133514404
2021-10-15,61593.94921875,21.818275451660156,421.5224609375,7.800000190734863
2021-10-16,60892.1796875,,,
2021-10-17,61553.6171875,,,
2021-10-18,62026.078125,22.17755699157715,422.7702941894531,8.279999732971191
2021-10-19,64261.9921875,22.245418548583984,426.0319519042969,8.270000457763672
2021-10-20,65992.8359375,22.05879020690918,427.70526123046875,8.699999809265137
2021-10-21,62210.171875,22.646615982055664,428.8207702636719,8.520000457763672
2021-10-22,60692.265625,22.68054962158203,428.37652587890625,8.5
2021-10-23,61393.6171875,,,
2021-10-24,60930.8359375,,,
2021-10-25,63039.82421875,23.119672775268555,430.6738586425781,8.770000457763672
2021-10-26,60363.79296875,24.667560577392578,431.06146240234375,8.800000190734863
2021-10-27,58482.38671875,24.402099609375,429.1517639160156,8.130000114440918
2021-10-28,60622.13671875,24.89111328125,433.2925720214844,8.180000305175781
2021-10-29,62227.96484375,25.515865325927734,434.17181396484375,7.840000152587891
2021-10-30,61888.83203125,,,
2021-10-31,61318.95703125,,,
2021-11-01,61004.40625,25.775341033935547,434.918701171875,8.40999984741211
2021-11-02,63226.40234375,26.34819984436035,436.67706298828125,8.550000190734863
2021-11-03,62970.046875,26.544803619384766,439.34307861328125,9.770000457763672
2021-11-04,61452.23046875,29.74140167236328,441.4134826660156,10.15999984741211
2021-11-05,61125.67578125,29.69249725341797,442.9450378417969,10.279999732971191
2021-11-06,61527.48046875,,,
2021-11-07,63326.98828125,,,
2021-11-08,67566.828125,30.742395401000977,443.3232116699219,10.859999656677246
2021-11-09,66971.828125,30.595685958862305,441.8577880859375,10.970000267028809
2021-11-10,64995.23046875,29.400081634521484,438.30316162109375,10.4399995803833
2021-11-11,64949.9609375,30.329219818115234,438.4449462890625,10.979999542236328
2021-11-12,64155.94140625,30.329219818115234,441.7538146972656,10.989999771118164
2021-11-13,64469.52734375,,,
2021-11-14,65466.83984375,,,
2021-11-15,63557.87109375,29.964950561523438,441.905029296875,10.270000457763672
2021-11-16,60161.24609375,30.14259147644043,443.6540832519531,9.850000381469727
2021-11-17,60368.01171875,29.202476501464844,442.57635498046875,9.890000343322754
2021-11-18,56942.13671875,31.61164665222168,444.0794982910156,10.050000190734863
2021-11-19,58119.578125,32.919029235839844,443.285400390625,9.180000305175781
2021-11-20,59697.1953125,,,
2021-11-21,58730.4765625,,,
2021-11-22,56289.2890625,31.892086029052734,442.0375061035156,8.9399995803833
2021-11-23,57569.07421875,31.682512283325195,442.6236267089844,9.449999809265137
2021-11-24,56280.42578125,32.60865020751953,443.80535888671875,9.399999618530273
2021-11-25,57274.6796875,,,
2021-11-26,53569.765625,31.439992904663086,433.9070129394531,8.899999618530273
2021-11-27,54815.078125,,,
2021-11-28,57248.45703125,,,
2021-11-29,57806.56640625,33.30924987792969,439.22967529296875,9.289999961853027
2021-11-30,57005.42578125,32.61064910888672,430.6833190917969,8.710000038146973
2021-12-01,57229.828125,31.3759708404541,425.89959716796875,8.470000267028809
2021-12-02,56477.81640625,32.065673828125,432.4228210449219,8.710000038146973
2021-12-03,53598.24609375,30.635366439819336,428.66015625,8.0
2021-12-04,49200.703125,,,
2021-12-05,49368.84765625,,,
2021-12-06,50582.625,29.980600357055664,433.7369079589844,8.0
2021-12-07,50700.0859375,32.3661003112793,442.70867919921875,8.40999984741211
2021-12-08,50504.796875,31.7662353515625,443.8809814453125,8.619999885559082
2021-12-09,47672.12109375,30.432743072509766,440.8841247558594,8.220000267028809
2021-12-10,47243.3046875,30.141292572021484,445.0343933105469,7.929999828338623
2021-12-11,49362.5078125,,,
2021-12-12,50098.3359375,,,
2021-12-13,46737.48046875,28.108121871948242,441.092041015625,7.650000095367432
2021-12-14,46612.6328125,28.28378677368164,438.057373046875,7.429999828338623
2021-12-15,48896.72265625,30.401803970336914,444.90203857421875,7.840000152587891
2021-12-16,47665.42578125,28.33370018005371,440.9786071777344,7.510000228881836
2021-12-17,46202.14453125,27.748796463012695,436.2853088378906,7.239999771118164
2021-12-18,46848.77734375,,,
2021-12-19,46707.015625,,,
2021-12-20,46880.27734375,27.666954040527344,431.6461181640625,7.159999847412109
2021-12-21,48936.61328125,29.020404815673828,439.31170654296875,7.829999923706055
2021-12-22,48628.51171875,29.344789505004883,443.7042541503906,7.860000133514404
2021-12-23,50784.5390625,29.5843448638916,446.465087890625,7.949999809265137
2021-12-24,50822.1953125,,,
2021-12-25,50429.859375,,,
2021-12-26,50809.515625,,,
2021-12-27,50640.41796875,30.88689422607422,452.7834777832031,8.5
2021-12-28,47588.85546875,30.265064239501953,452.4134826660156,8.149999618530273
2021-12-29,46444.7109375,29.944664001464844,452.9921875,7.920000076293945
2021-12-30,47178.125,29.53044319152832,451.7398681640625,7.599999904632568
2021-12-31,46306.4453125,29.35577392578125,450.6014404296875,7.630000114440918
2022-01-01,47686.8125,,,
2022-01-02,47345.21875,,,
2022-01-03,46458.1171875,30.064441680908203,453.2104187011719,8.489999771118164
2022-01-04,45897.57421875,29.23499870300293,453.05853271484375,8.520000457763672
2022-01-05,43569.00390625,27.552165985107422,444.3588562011719,8.59000015258789
2022-01-06,43160.9296875,28.125085830688477,443.94146728515625,7.840000152587891
2022-01-07,41557.90234375,27.195833206176758,442.1863098144531,8.350000381469727
2022-01-08,41733.94140625,,,
2022-01-09,41911.6015625,,,
2022-01-10,41821.26171875,27.34855079650879,441.6361083984375,8.140000343322754
2022-01-11,42735.85546875,27.764760971069336,445.6586608886719,8.149999618530273
2022-01-12,43949.1015625,27.946426391601562,446.8635559082031,8.010000228881836
2022-01-13,42591.5703125,26.525096893310547,440.7063293457031,7.210000038146973
2022-01-14,43099.69921875,26.89140510559082,440.8865966796875,7.150000095367432
2022-01-15,43177.3984375,,,
2022-01-16,43113.87890625,,,
2022-01-17,42250.55078125,,,
2022-01-18,42375.6328125,25.854360580444336,433.0787048339844,6.659999847412109
2022-01-19,41744.328125,25.019929885864258,428.581787109375,6.789999961853027
2022-01-20,40680.41796875,24.104656219482422,423.83819580078125,6.599999904632568
2022-01-21,36457.31640625,23.330110549926758,415.5179748535156,6.210000038146973
2022-01-22,35030.25,,,
2022-01-23,36276.8046875,,,
2022-01-24,36654.328125,23.328113555908203,417.2825927734375,6.28000020980835
2022-01-25,36954.00390625,22.282079696655273,412.18798828125,6.25
2022-01-26,36852.12109375,22.729238510131836,411.1539001464844,5.929999828338623
2022-01-27,37138.234375,21.902793884277344,409.1236267089844,5.650000095367432
2022-01-28,37784.33203125,22.7971134185791,419.2843933105469,5.800000190734863
2022-01-29,38138.1796875,,,
2022-01-30,37917.6015625,,,
2022-01-31,38483.125,24.440021514892578,426.8362121582031,6.170000076293945
2022-02-01,38743.2734375,24.59174156188965,429.7202453613281,6.619999885559082
